@TIME_PERIOD,@OBS_VALUE
1957-01,7.14285714795918E-05
1957-02,7.14285714795918E-05
1957-03,7.14285714795918E-05
1957-04,7.14285714795918E-05
1957-05,7.14285714795918E-05
1957-06,7.14285714795918E-05
1957-07,7.14285714795918E-05
1957-08,7.14285714795918E-05
1957-09,7.14285714795918E-05
1957-10,7.14285714795918E-05
1957-11,7.14285714795918E-05
1957-12,7.14285714795918E-05
1958-01,7.14285714795918E-05
1958-02,7.14285714795918E-05
1958-03,7.14285714795918E-05
1958-04,7.14285714795918E-05
1958-05,7.14285714795918E-05
1958-06,7.14285714795918E-05
1958-07,7.14285714795918E-05
1958-08,7.14285714795918E-05
1958-09,7.14285714795918E-05
1958-10,7.14285714795918E-05
1958-11,7.14285714795918E-05
1958-12,7.14285714795918E-05
1959-01,7.14285714795918E-05
1959-02,7.14285714795918E-05
1959-03,7.14285714795918E-05
1959-04,7.14285714795918E-05
1959-05,7.14285714795918E-05
1959-06,7.14285714795918E-05
1959-07,7.14285714795918E-05
1959-08,7.14285714795918E-05
1959-09,7.14285714795918E-05
1959-10,7.14285714795918E-05
1959-11,7.14285714795918E-05
1959-12,7.14285714795918E-05
1960-01,7.14285714795918E-05
1960-02,7.14285714795918E-05
1960-03,7.14285714795918E-05
1960-04,7.14285714795918E-05
1960-05,7.14285714795918E-05
1960-06,7.14285714795918E-05
1960-07,7.14285714795918E-05
1960-08,7.14285714795918E-05
1960-09,7.14285714795918E-05
1960-10,7.14285714795918E-05
1960-11,7.14285714795918E-05
1960-12,7.14285714795918E-05
1961-01,7.14285714795918E-05
1961-02,7.14285714795918E-05
1961-03,7.14285714795918E-05
1961-04,7.14285714795918E-05
1961-05,7.14285714795918E-05
1961-06,7.14285714795918E-05
1961-07,7.14285714795918E-05
1961-08,7.14285714795918E-05
1961-09,7.14285714795918E-05
1961-10,7.14285714795918E-05
1961-11,7.14285714795918E-05
1961-12,7.14285714795918E-05
1962-01,7.14285714795918E-05
1962-02,7.14285714795918E-05
1962-03,7.14285714795918E-05
1962-04,7.14285714795918E-05
1962-05,7.14285714795918E-05
1962-06,7.14285714795918E-05
1962-07,7.14285714795918E-05
1962-08,7.14285714795918E-05
1962-09,7.14285714795918E-05
1962-10,7.14285714795918E-05
1962-11,7.14285714795918E-05
1962-12,7.14285714795918E-05
1963-01,7.14285714795918E-05
1963-02,7.14285714795918E-05
1963-03,7.14285714795918E-05
1963-04,7.14285714795918E-05
1963-05,7.14285714795918E-05
1963-06,7.14285714795918E-05
1963-07,7.14285714795918E-05
1963-08,7.14285714795918E-05
1963-09,7.14285714795918E-05
1963-10,7.14285714795918E-05
1963-11,7.14285714795918E-05
1963-12,7.14285714795918E-05
1964-01,7.14285714795918E-05
1964-02,7.14285714795918E-05
1964-03,7.14285714795918E-05
1964-04,7.14285714795918E-05
1964-05,7.14285714795918E-05
1964-06,7.14285714795918E-05
1964-07,7.14285714795918E-05
1964-08,7.14285714795918E-05
1964-09,7.14285714795918E-05
1964-10,7.14285714795918E-05
1964-11,7.14285714795918E-05
1964-12,7.14285714795918E-05
1965-01,7.14285714795918E-05
1965-02,7.14285714795918E-05
1965-03,7.14285714795918E-05
1965-04,7.14285714795918E-05
1965-05,7.14285714795918E-05
1965-06,7.14285714795918E-05
1965-07,7.14285714795918E-05
1965-08,7.14285714795918E-05
1965-09,7.14285714795918E-05
1965-10,7.14285714795918E-05
1965-11,7.14285714795918E-05
1965-12,7.14285714795918E-05
1966-01,7.14285714795918E-05
1966-02,7.14285714795918E-05
1966-03,7.14285714795918E-05
1966-04,7.14285714795918E-05
1966-05,7.14285714795918E-05
1966-06,7.14285714795918E-05
1966-07,7.14285714795918E-05
1966-08,7.14285714795918E-05
1966-09,7.14285714795918E-05
1966-10,7.14285714795918E-05
1966-11,7.14285714795918E-05
1966-12,7.14285714795918E-05
1967-01,7.14285714795918E-05
1967-02,7.14285714795918E-05
1967-03,7.14285714795918E-05
1967-04,7.14285714795918E-05
1967-05,7.14285714795918E-05
1967-06,7.14285714795918E-05
1967-07,0.000102040816326531
1967-08,0.000102040816326531
1967-09,0.000102040816326531
1967-10,0.000102040816326531
1967-11,0.000102040816326531
1967-12,0.000102040816326531
1968-01,0.000102040816326531
1968-02,0.000102040816326531
1968-03,0.000102040816326531
1968-04,0.000102040816326531
1968-05,0.000102040816326531
1968-06,0.000102040816326531
1968-07,0.000102040816326531
1968-08,0.000102040816326531
1968-09,0.000102040816326531
1968-10,0.000102040816326531
1968-11,0.000102040816326531
1968-12,0.000102040816326531
1969-01,0.000102040816326531
1969-02,0.000102040816326531
1969-03,0.000102040816326531
1969-04,0.000102040816326531
1969-05,0.000102040816326531
1969-06,0.000102040816326531
1969-07,0.000102040816326531
1969-08,0.000102040816326531
1969-09,0.000102040816326531
1969-10,0.000102040816326531
1969-11,0.000102040816326531
1969-12,0.000102040816326531
1970-01,0.000102040816326531
1970-02,0.000102040816326531
1970-03,0.000102040816326531
1970-04,0.000102040816326531
1970-05,0.000102040816326531
1970-06,0.000102040816326531
1970-07,0.000102040816326531
1970-08,0.000102040816326531
1970-09,0.000102040816326531
1970-10,0.000102040816326531
1970-11,0.000102040816326531
1970-12,0.000102040816326531
1971-01,0.000102040816326531
1971-02,0.000102040816326531
1971-03,0.000102040816326531
1971-04,0.000102040816326531
1971-05,0.000102040816326531
1971-06,0.000102040816326531
1971-07,0.000102040816326531
1971-08,0.000102040816326531
1971-09,0.000102040816326531
1971-10,0.000102040816326531
1971-11,0.000102040816326531
1971-12,0.000181818181818182
1972-01,0.000181818181818182
1972-02,0.00012800000016384
1972-03,0.00012800000016384
1972-04,0.00012800000016384
1972-05,0.00012800000016384
1972-06,0.00012800000016384
1972-07,0.00012800000016384
1972-08,0.00012800000016384
1972-09,0.00012800000016384
1972-10,0.00012800000016384
1972-11,0.00012800000016384
1972-12,0.00012800000016384
1973-01,0.00012800000016384
1973-02,0.000114999367635727
1973-03,0.000114999367635727
1973-04,0.000114999367635727
1973-05,0.000114999367635727
1973-06,0.000114999367635727
1973-07,0.000114999367635727
1973-08,0.000114999367635727
1973-09,0.000114999367635727
1973-10,0.000114999367635727
1973-11,0.000114999367635727
1973-12,0.000114999367635727
1974-01,0.000114999367635727
1974-02,0.000114999367635727
1974-03,0.000114999367635727
1974-04,0.000114999367635727
1974-05,0.000114999367635727
1974-06,0.000114999367635727
1974-07,0.000114999367635727
1974-08,0.000114999367635727
1974-09,0.000114999367635727
1974-10,0.000114999367635727
1974-11,0.000114999367635727
1974-12,0.000114999367635727
1975-01,0.000114999367635727
1975-02,0.000114999367635727
1975-03,0.000114999367635727
1975-04,0.000114999367635727
1975-05,0.000114999367635727
1975-06,0.000114999367635727
1975-07,0.000114999367635727
1975-08,0.000114999367635727
1975-09,0.000114999367635727
1975-10,0.000114999367635727
1975-11,0.000114999367635727
1975-12,0.000114999367635727
1976-01,0.000114999367635727
1976-02,0.000114999367635727
1976-03,0.000114999367635727
1976-04,0.000114999367635727
1976-05,0.000114999367635727
1976-06,0.000114999367635727
1976-07,0.000114999367635727
1976-08,0.000114999367635727
1976-09,0.000114999367635727
1976-10,0.000114999367635727
1976-11,0.000114999367635727
1976-12,0.000114999367635727
1977-01,0.000114999367635727
1977-02,0.000114999367635727
1977-03,0.000114999367635727
1977-04,0.000114999367635727
1977-05,0.000114999367635727
1977-06,0.000114999367635727
1977-07,0.000114999367635727
1977-08,0.000114999367635727
1977-09,0.000114999367635727
1977-10,0.000114999367635727
1977-11,0.000114999367635727
1977-12,0.000114999367635727
1978-01,0.000114999367635727
1978-02,0.000114999367635727
1978-03,0.000114999367635727
1978-04,0.000114999367635727
1978-05,0.000114999367635727
1978-06,0.000135000135182385
1978-07,0.000146000321413868
1978-08,0.000274997250783735
1978-09,0.000274997250783735
1978-10,0.000274997250783735
1978-11,0.000274997250783735
1978-12,0.000274997250783735
1979-01,0.000274997250783735
1979-02,0.000274997250783735
1979-03,0.000274997250783735
1979-04,0.000274997250783735
1979-05,0.000274997250783735
1979-06,0.000274997250783735
1979-07,0.000274997250783735
1979-08,0.000274997250783735
1979-09,0.000274997250783735
1979-10,0.000274997250783735
1979-11,0.000274997250783735
1979-12,0.000274997250783735
1980-01,0.000274997250783735
1980-02,0.000274997250783735
1980-03,0.000274997250783735
1980-04,0.000274997250783735
1980-05,0.000274997250783735
1980-06,0.000274997250783735
1980-07,0.000274997250783735
1980-08,0.000274997250783735
1980-09,0.000274997250783735
1980-10,0.000274997250783735
1980-11,0.000274997250783735
1980-12,0.000274997250783735
1981-01,0.000274997250783735
1981-02,0.000274997250783735
1981-03,0.000274997250783735
1981-04,0.000274997250783735
1981-05,0.000274997250783735
1981-06,0.000274997250783735
1981-07,0.000274997250783735
1981-08,0.000274997250783735
1981-09,0.000274997250783735
1981-10,0.000274997250783735
1981-11,0.000274997250783735
1981-12,0.000274997250783735
1982-01,0.000274997250783735
1982-02,0.000274997250783735
1982-03,0.000274997250783735
1982-04,0.000274997250783735
1982-05,0.000274997250783735
1982-06,0.000274997250783735
1982-07,0.000274997250783735
1982-08,0.000274997250783735
1982-09,0.000274997250783735
1982-10,0.000274997250783735
1982-11,0.000274997250783735
1982-12,0.000274997250783735
1983-01,0.000274997250783735
1983-02,0.000274997250783735
1983-03,0.000274997250783735
1983-04,0.000274997250783735
1983-05,0.000274997250783735
1983-06,0.000274997250783735
1983-07,0.000274997250783735
1983-08,0.000274997250783735
1983-09,0.000274997250783735
1983-10,0.00300030012002101
1983-11,0.00300030012002101
1983-12,0.00300030012002101
1984-01,0.00300030012002101
